title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
Naturally,Selena Gomez & The Scene,pop,2010,133,90,61,5,88,203,2,5,62
Smile,Uncle Kracker,country,2010,141,83,55,38,60,202,19,3,62
Whataya Want from Me,Adam Lambert,dance pop,2010,186,68,44,6,45,227,1,5,61
American Honey,Lady A,contemporary country,2010,86,68,59,14,12,225,51,3,61
Stuck Like Glue,Sugarland,contemporary country,2010,84,80,70,5,84,248,33,6,61
Today Was A Fairytale,Taylor Swift,pop,2010,158,70,49,17,34,242,3,3,61
Say Aah (feat. Fabolous),Trey Songz,dance pop,2010,93,87,72,83,81,208,0,11,61
My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,138,89,68,36,83,192,1,8,59
Try Sleeping with a Broken Heart,Alicia Keys,neo soul,2010,111,82,50,13,55,249,16,11,59
Rock That Body,Black Eyed Peas,dance pop,2010,125,91,72,43,84,269,2,10,59
How Low,Ludacris,atl hip hop,2010,144,50,79,22,42,202,0,5,59
If I Die Young,The Band Perry,contemporary country,2010,131,50,61,28,36,223,35,3,59
"Lover, Lover",Jerrod Niemann,contemporary country,2010,112,57,88,62,95,194,19,6,58
Say Something (Featuring Drake),Timbaland,dance pop,2010,80,71,56,71,73,241,8,9,58
There Goes My Baby,USHER,atl hip hop,2010,77,52,63,13,26,281,18,9,58
3,Britney Spears,dance pop,2010,135,71,70,14,79,213,5,5,57
Over,Drake,canadian hip hop,2010,100,85,33,12,43,234,1,28,57
Undo It,Carrie Underwood,classic oklahoma country,2010,156,84,48,5,65,177,11,6,56
King of Anything,Sara Bareilles,acoustic pop,2010,119,76,68,6,81,207,46,4,56
Find Your Love,Drake,canadian hip hop,2010,96,61,63,3,74,209,2,17,54
Already Gone,Kelly Clarkson,dance pop,2010,78,87,21,8,29,282,22,8,54
Life After You,Daughtry,alternative metal,2010,51,76,43,44,31,206,5,3,53
Hard,Rihanna,barbadian pop,2010,182,75,31,65,16,251,1,11,52
I Made It (Cash Money Heroes),Kevin Rudolf,pop rap,2010,121,95,58,35,58,290,5,15,50
Tie Me Down (feat. Ray J),New Boyz,pop rap,2010,98,79,42,20,38,179,1,29,48
Live Like We're Dying,Kris Allen,acoustic pop,2010,92,90,58,29,93,213,3,4,47
According To You,Orianthi,candy pop,2010,131,92,61,11,54,200,2,5,45
Sure Thing,Miguel,r&b,2011,81,61,68,19,50,195,3,10,86
Give Me Everything (feat. Nayer),Pitbull,dance pop,2011,129,94,67,30,53,252,19,16,86
Just the Way You Are,Bruno Mars,dance pop,2011,109,84,64,6,42,221,1,4,85
Pumped Up Kicks,Foster The People,indietronica,2011,128,71,73,10,97,240,14,3,85
We Found Love,Rihanna,barbadian pop,2011,128,77,74,11,60,215,3,4,83
Only Girl (In The World),Rihanna,barbadian pop,2011,126,71,79,6,64,235,11,4,83
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,atl hip hop,2011,120,86,66,8,65,221,3,11,82
S&M,Rihanna,barbadian pop,2011,128,69,77,9,84,244,1,4,81
Rolling in the Deep,Adele,british soul,2011,105,77,73,5,51,228,14,3,79
Someone Like You,Adele,british soul,2011,135,32,56,10,29,285,89,3,79
Super Bass,Nicki Minaj,hip pop,2011,127,86,72,60,67,200,27,20,79
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,90,80,65,27,80,211,3,10,78
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,7,57,285,11,5,78
Just Can’t Get Enough,Black Eyed Peas,dance pop,2011,94,63,66,11,26,219,19,18,77
Barefoot Blue Jean Night,Jake Owen,contemporary country,2011,172,81,60,20,81,167,20,4,77
Raise Your Glass,P!nk,dance pop,2011,122,72,70,3,61,203,1,9,77
All Of The Lights,Kanye West,chicago rap,2011,142,80,53,18,22,300,8,7,76
Teenage Dream,Katy Perry,pop,2011,120,80,72,14,61,228,1,4,76
Grenade,Bruno Mars,dance pop,2011,110,56,70,11,25,222,15,5,75
Headlines,Drake,canadian hip hop,2011,152,57,64,9,43,236,37,11,75
Last Friday Night (T.G.I.F.),Katy Perry,pop,2011,126,81,65,67,76,231,0,4,75
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2011,131,60,76,24,36,264,1,4,75
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,contemporary country,2011,91,58,72,10,61,203,43,3,75
Country Girl (Shake It For Me),Luke Bryan,contemporary country,2011,106,90,64,8,67,226,3,5,74
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,dance pop,2011,128,91,60,26,76,234,4,9,74
What's My Name?,Rihanna,barbadian pop,2011,100,78,69,8,56,263,18,7,74
Like A G6,Far East Movement,asian american hip hop,2011,165,84,36,12,78,217,1,47,73
Down On Me,Jeremih,chicago rap,2011,160,60,70,11,59,228,4,11,73
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,27,36,262,2,16,73
Who Says,Selena Gomez & The Scene,pop,2011,101,93,68,15,74,196,8,5,73
Back To December,Taylor Swift,pop,2011,142,61,52,32,30,293,2,3,73
Black and Yellow,Wiz Khalifa,hip hop,2011,164,83,68,27,54,218,6,7,73
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,14,88,221,0,5,72
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011,130,88,67,26,55,195,6,4,72
Dirt Road Anthem,Jason Aldean,contemporary country,2011,127,74,68,12,64,229,34,4,72
Price Tag,Jessie J,dance pop,2011,175,83,64,27,67,223,3,18,72
Firework,Katy Perry,pop,2011,124,83,64,8,65,228,14,5,72
Born This Way,Lady Gaga,art pop,2011,124,83,59,33,49,260,0,16,72
Just A Dream,Nelly,dance pop,2011,90,75,53,12,10,238,4,3,72
Good Life,OneRepublic,piano rock,2011,95,69,63,13,65,253,8,5,72
Take A Back Road,Rodney Atkins,contemporary country,2011,170,86,58,9,92,209,18,8,72
The Lazy Song,Bruno Mars,dance pop,2011,175,71,79,10,96,189,30,7,71
We R Who We R,Kesha,dance pop,2011,120,82,74,12,65,205,1,4,71
Animal,Neon Trees,modern rock,2011,148,83,48,38,74,212,0,4,71
Dynamite,Taio Cruz,dance pop,2011,120,78,75,4,82,203,0,9,71
6 Foot 7 Foot,Lil Wayne,hip hop,2011,79,75,36,32,61,249,0,30,70
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2011,74,60,84,39,33,242,2,16,70
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,r&b,2011,146,68,77,14,54,223,3,18,69
